Test 1: 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Test 2: 1, 1, 0, 0, 1, 0, 1, 0, 0, 0
Test 3: 0, 1, 0, 1, 1, 1, 1, 1, 0, 0
Test 4: 1, 0, 1, 0, 1, 0, 0, 0, 0, 0
Test 5: 1, 0, 1, 1, 1, 1, 0, 0, 0, 0 
Test 6: 1, 1, 1, 0, 1, 0, 1, 0, 0, 0 
Test 7: 1, 1, 1, 1, 1, 1, 1, 1, 0, 0
Test 8: 1, 0, 0, 0, 1, 0, 0, 1, 0, 0
Test 9: 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
Test 10: 0, 1, 1, 1, 0, 0, 0, 0, 0, 0
Test 11: 0, 0, 0, 0, 1, 1, 0, 0, 0, 0
Test 12: 1, 0, 0, 0, 1, 1, 0, 0, 0, 0
Test 13: 0, 0, 0, 0, 0, 0, 1, 1, 0, 0
Test 14: 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
Test 15: 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
Test 16: 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
Test 17: 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
